"","Author","Title","Key","Publication.Title","DOI","Date"
"1","Cornelissen, Gert; Pandelaere, Mario; Warlop, Luk; Dewitte, Siegfried","Positive cueing: Promoting sustainable consumer behavior by cueing common environmental behaviors as environmental","J9KYSDHI","International Journal of Research in Marketing","10.1016/j.ijresmar.2007.06.002",2008
"2","Willis, Margaret M.; Schor, Juliet B.","Does Changing a Light Bulb Lead to Changing the World? Political Action and the Conscious Consumer","RXS6C4BZ","The ANNALS of the American Academy of Political and Social Science","10.1177/0002716212454831",2012
"3","Albarracín, Dolores; McNatt, Penny S.","Maintenance and Decay of Past Behavior Influences: Anchoring Attitudes on Beliefs Following Inconsistent Actions","K4HHANLV","Personality & social psychology bulletin","10.1177/0146167204272180",2005
"4","van der Werff, Ellen; Steg, Linda; Keizer, Kees","I Am What I Am, by Looking Past the Present: The Influence of Biospheric Values and Past Behavior on Environmental Self-Identity","M684IDIG","Environment and Behavior","10.1177/0013916512475209",2013
"5","Truelove, Heather Barnes; Carrico, Amanda R.; Weber, Elke U.; Raimi, Kaitlin T.; Vandenbergh, Michael P.","Positive and negative spillover of pro-environmental behavior: An integrative review and theoretical framework","SCZ76MHU","Global Environmental Change","10.1016/j.gloenvcha.2014.09.004",2014
"6","Whitmarsh, Lorraine; O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours","KQ4SBKP3","Journal of Environmental Psychology","10.1016/j.jenvp.2010.01.003",2010
"7","Kantola, S. J.; Syme, G. J.; Campbell, Norm A.","Cognitive dissonance and energy conservation.","U3A84H9K","Journal of Applied Psychology","10.1037/0021-9010.69.3.416",1984
"8","Thøgersen, John; Noblet, Caroline L.","Does green consumerism increase the acceptance of wind power","7NTCA7HG","Energy Policy","10.1016/j.enpol.2012.09.044",2012
"9","Klöckner, Christian A.; Nayum, Alim; Mehmetoglu, Mehmet","Positive and negative spillover effects from electric car purchase to car use","3JBB2RUV","Transportation Research Part D: Transport and Environment","10.1016/j.trd.2013.02.007",2013
"10","Lanzini, Pietro; Thøgersen, John","Behavioural spillover in the environmental domain: An intervention study","XPBSFV3E","Journal of Environmental Psychology","10.1016/j.jenvp.2014.09.006",2014
"11","Mazar, Nina; Zhong, Chen-Bo","Do Green Products Make Us Better People","3VNQALFS","Psychological science","10.1177/0956797610363538",2010
"12","Goldman, Morton; Seever, Mark; Seever, Margaret F.","Social Labeling and the Foot-in-the-Door Effect","YV762D8W","The Journal of Social Psychology","10.1080/00224545.1982.9713402",1982
"13","Bashir, Nadia Y.; Lockwood, Penelope; Chasteen, Alison L.; Nadolny, Daniel; Noyes, Indra","The ironic impact of activists: Negative stereotypes reduce social change influence","Z35USWIB","European Journal of Social Psychology","10.1002/ejsp.1983",2013
"14","Tiefenbeck, Verena; Staake, Thorsten; Roth, Kurt; Sachs, Olga","For better or for worse? Empirical evidence of moral licensing in a behavioral energy conservation campaign","IE493EJI","Energy Policy","10.1016/j.enpol.2013.01.021",2013
"15","Sparks, Paul; Jessop, Donna C.; Chapman, James; Holmes, Katherine","Pro-environmental actions, climate change, and defensiveness: do self-affirmations make a difference to people's motives and beliefs about making a difference?","RAS6KZLS","The British journal of social psychology","10.1348/014466609x471976",2009
"16","Preacher, Kristopher J.; Hayes, Andrew F.","Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models","GY4DUALT","Behavior research methods","10.3758/brm.40.3.879",2008
"17","Bissing-Olson, Megan J.; Fielding, Kelly S.; Iyer, Aarti","Experiences of pride, not guilt, predict pro-environmental behavior when pro-environmental descriptive norms are more positive","A6UH35RQ","Journal of Environmental Psychology","10.1016/j.jenvp.2016.01.001",2016
