"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Maiolini R.; Cappa F.; Franco S.; Quaratino G.R.","Maiolini, Riccardo (56185757400); Cappa, Francesco (56574851700); Franco, Stefano (57211944337); Quaratino, Giovanni Raimondo (59206000600)","56185757400; 56574851700; 57211944337; 59206000600","The impact of sustainable development goals in lending-based prosocial crowdfunding: A topic modeling analysis on the kiva platform","2024","International Review of Financial Analysis","95","","103441","","","","1","10.1016/j.irfa.2024.103441","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197614846&doi=10.1016%2fj.irfa.2024.103441&partnerID=40&md5=110d4c953172a3d622f19274632533c1","Article","Final","","Scopus","2-s2.0-85197614846"
"Kräussl R.; Oladiran T.; Stefanova D.","Kräussl, Roman (8579858300); Oladiran, Tobi (57207843985); Stefanova, Denitsa (56545413600)","8579858300; 57207843985; 56545413600","A review on ESG investing: Investors’ expectations, beliefs and perceptions","2024","Journal of Economic Surveys","38","2","","476","502","26","7","10.1111/joes.12599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178452918&doi=10.1111%2fjoes.12599&partnerID=40&md5=88a7410bfa30f1cb2fe8902fd4191572","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85178452918"
"Zhu J.J.; Tuo L.; You Y.; Fei Q.; Thomson M.","Zhu, John JianJun (56818116200); Tuo, Ling (57194133417); You, Yanfen (57212604430); Fei, Qiang (58888087800); Thomson, Matthew (14049522800)","56818116200; 57194133417; 57212604430; 58888087800; 14049522800","A Preemptive and Curative Solution to Mitigate Data Breaches: Corporate Social Responsibility as a Double Layer of Protection","2024","Journal of Marketing Research","61","4","","778","801","23","1","10.1177/00222437231218969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185150286&doi=10.1177%2f00222437231218969&partnerID=40&md5=2a9dc9fcd20e5cdc386ca6c112ed1e7f","Article","Final","","Scopus","2-s2.0-85185150286"
"Lukman C.F.; Marcello N.; Andrian T.","Lukman, Callista Florence (59195187900); Marcello, Nicholas (59194993600); Andrian, Tommy (57211446775)","59195187900; 59194993600; 57211446775","Bridging ESG Disclosures and Corporate Financial Performance: A Study on Top-Listed Companies of the ASEAN-5 Countries","2024","International Journal of Sustainability Policy and Practice","20","2","","1","26","25","0","10.18848/2325-1166/CGP/v20i02/1-26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197065716&doi=10.18848%2f2325-1166%2fCGP%2fv20i02%2f1-26&partnerID=40&md5=c45ff8902822495ce85bf1ddd777e592","Article","Final","","Scopus","2-s2.0-85197065716"
"Fröberg E.; Kolesova S.; Rosengren S.","Fröberg, Emelie (57044766500); Kolesova, Svetlana (57211683900); Rosengren, Sara (15122957700)","57044766500; 57211683900; 15122957700","Does the Label Fit the Channel? How “Bricks” and “Clicks” Influence Demand for Environmental and Social Sustainability Labels","2024","Journal of Service Research","27","1","","124","140","16","3","10.1177/10946705231198027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169554635&doi=10.1177%2f10946705231198027&partnerID=40&md5=503f7e29f55b46ae2134a8745b525937","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85169554635"
"Lee H.J.","Lee, Hyuck Jin (57698962300)","57698962300","Does corporate ESG, an essential factor for overcoming the climate crisis, affect sustainability: The effects of psychological distance and purchase intention","2024","Business Strategy and the Environment","","","","","","","0","10.1002/bse.3945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202934475&doi=10.1002%2fbse.3945&partnerID=40&md5=b3da24d1a826c520841eee7f884e4a2c","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85202934475"
"Ergen Keleş F.H.; Keleş E.; Schlegelmilch B.B.","Ergen Keleş, Fatma Hilal (58034085300); Keleş, Emrah (57218766397); Schlegelmilch, Bodo B. (55892979600)","58034085300; 57218766397; 55892979600","Corporate social responsibility news and stock performance: A systematic literature review","2023","Borsa Istanbul Review","23","2","","443","463","20","2","10.1016/j.bir.2022.11.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145005746&doi=10.1016%2fj.bir.2022.11.017&partnerID=40&md5=e0f1719264acedee23423cc8059371b5","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145005746"
"Samwick A.A.; Wang S.","Samwick, Andrew A. (6602139266); Wang, Sophie (58892132800)","6602139266; 58892132800","Corporate social responsibility and voting over public goods","2024","Global Finance Journal","60","","100940","","","","0","10.1016/j.gfj.2024.100940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185313279&doi=10.1016%2fj.gfj.2024.100940&partnerID=40&md5=e7be4f7c8036a2eaa4a73179bdf22c9f","Article","Final","","Scopus","2-s2.0-85185313279"
"Dinh J.M.; Isaak A.J.; Yahyaoui Y.","Dinh, Jeannette Mai (57934936300); Isaak, Andrew Jay (57041086800); Yahyaoui, Yasmine (58081828200)","57934936300; 57041086800; 58081828200","Investing for good – Uncovering crowd investors' motivations to participate in sustainability-oriented crowdlending","2024","Technological Forecasting and Social Change","207","","123584","","","","0","10.1016/j.techfore.2024.123584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198978262&doi=10.1016%2fj.techfore.2024.123584&partnerID=40&md5=41e320fb0f7c17f2ed0208b627a13323","Article","Final","","Scopus","2-s2.0-85198978262"
"Dahlman S.","Dahlman, Sara (57224640080)","57224640080","Tinkering Toward the Good––Sustainable Investing Between Utopian Imaginaries and Actualizations","2023","Journal of Business Ethics","185","2","","281","297","16","3","10.1007/s10551-022-05217-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135469514&doi=10.1007%2fs10551-022-05217-8&partnerID=40&md5=37f4b281d89563e683e4f624b0d98195","Article","Final","","Scopus","2-s2.0-85135469514"
