"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"García-Sánchez I.-M.; Cunha-Araujo D.-J.; Amor-Esteban V.; Enciso-Alfaro S.-Y.","García-Sánchez, Isabel-María (57193363767); Cunha-Araujo, Davi-Jonatas (58844625900); Amor-Esteban, Víctor (57196276446); Enciso-Alfaro, Saudi-Yulieth (57932331000)","57193363767; 58844625900; 57196276446; 57932331000","Leadership and Agenda 2030 in the Context of Big Challenges: Sustainable Development Goals on the Agenda of the Most Powerful CEOs","2024","Administrative Sciences","14","7","146","","","","3","10.3390/admsci14070146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199929744&doi=10.3390%2fadmsci14070146&partnerID=40&md5=b25ae151b3dc4eed67ae9920f2691b70","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199929744"
"Liu W.; Jing K.","Liu, Wenling (58564581500); Jing, Kui (57218563034)","58564581500; 57218563034","ESG portfolio for TDFs with time-varying higher moments and cardinality constraint","2024","International Transactions in Operational Research","31","6","","4270","4295","25","0","10.1111/itor.13364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169903110&doi=10.1111%2fitor.13364&partnerID=40&md5=bd44047b30f9307b883d80ef52cc24c9","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85169903110"
"Doaei M.; Dehnad K.; Dehnad M.","Doaei, Meysam (58141346800); Dehnad, Kazem (58141258000); Dehnad, Mahdi (58141258100)","58141346800; 58141258000; 58141258100","A hybrid approach based on multi-criteria decision making and data-driven optimization in solving portfolio selection problem","2024","OPSEARCH","","","","","","","0","10.1007/s12597-024-00776-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195186517&doi=10.1007%2fs12597-024-00776-y&partnerID=40&md5=a1897503c5f3ab6776e8d29eae7b63db","Article","Article in press","","Scopus","2-s2.0-85195186517"
"Saadaoui Mallek R.; Albaity M.; Ur-Rehman I.; Thangavelu S.","Saadaoui Mallek, Ray (57191996733); Albaity, Mohamed (54400710300); Ur-Rehman, Ijaz (57195761890); Thangavelu, Shanmugam (58542354300)","57191996733; 54400710300; 57195761890; 58542354300","The puzzle of convex/concave ESG returns and large banks in MENA region countries","2024","Borsa Istanbul Review","24","3","","618","633","15","2","10.1016/j.bir.2024.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188632921&doi=10.1016%2fj.bir.2024.03.007&partnerID=40&md5=1376eecdff3e51c774afa5a1e5932174","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188632921"
"de Aguiar T.R.S.; Haque S.; McCann L.","de Aguiar, Thereza Raquel Sales (56029258300); Haque, Shamima (36650702100); McCann, Laura (56239486600)","56029258300; 36650702100; 56239486600","Mapping accounting literature on climate finance: identifying research gaps and reflections on future research","2024","Accounting Research Journal","37","3","","249","269","20","2","10.1108/ARJ-06-2023-0162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192459689&doi=10.1108%2fARJ-06-2023-0162&partnerID=40&md5=ea47ee7c9af3da81cc74c0835e11a2bc","Review","Final","","Scopus","2-s2.0-85192459689"
"Li L.; Wang M.; Zhou X.","Li, Liang (55730962200); Wang, Mingxu (58750047900); Zhou, Xiaohao (57461038500)","55730962200; 58750047900; 57461038500","Creating value beyond commercial outcomes: The ESG practices of online marketplaces for sustainable development","2023","Electronic Markets","33","1","62","","","","3","10.1007/s12525-023-00682-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178882354&doi=10.1007%2fs12525-023-00682-z&partnerID=40&md5=031fde6fd0a50a5df847ef3cd49fcf07","Article","Final","","Scopus","2-s2.0-85178882354"
"ElBannan M.A.","ElBannan, Mona A. (56925275300)","56925275300","Returns behavior of ESG ETFs in the COVID-19 market crash: Are green funds more resilient?","2024","Journal of Corporate Accounting and Finance","35","2","","187","223","36","2","10.1002/jcaf.22680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177828740&doi=10.1002%2fjcaf.22680&partnerID=40&md5=945d5015e4fbeb45dc37b0301491c234","Article","Final","","Scopus","2-s2.0-85177828740"
"Lizovskaya V.V.; Moldovan A.A.","Lizovskaya, Veronika V. (57217078544); Moldovan, Artem A. (57983987600)","57217078544; 57983987600","CSR and ESG Transformation of Russian Brands: Cases of Food Industry Companies","2024","Springer Proceedings in Business and Economics","","","","389","399","10","0","10.1007/978-3-031-56380-5_35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199491491&doi=10.1007%2f978-3-031-56380-5_35&partnerID=40&md5=99c30c7845e56c7068d8417f81cc6daa","Conference paper","Final","","Scopus","2-s2.0-85199491491"
"Popescu I.-S.; Schaubroeck T.; Gibon T.; Petucco C.; Benetto E.","Popescu, Ioana-Stefania (57219371742); Schaubroeck, Thomas (55189248100); Gibon, Thomas (56117208900); Petucco, Claudio (55820457100); Benetto, Enrico (24334369400)","57219371742; 55189248100; 56117208900; 55820457100; 24334369400","Investment funds are responsible for substantial environmental and social impacts","2024","Communications Earth and Environment","5","1","355","","","","0","10.1038/s43247-024-01479-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197260672&doi=10.1038%2fs43247-024-01479-4&partnerID=40&md5=bb7b8ecee24b17f51002ab1011c5428e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197260672"
"Chenguel M.B.; Mansour N.","Chenguel, Mohamed Bechir (57266048800); Mansour, Nadia (57223003268)","57266048800; 57223003268","Green finance: between commitment and illusion","2024","Competitiveness Review","34","1","","179","192","13","2","10.1108/CR-10-2022-0162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151971431&doi=10.1108%2fCR-10-2022-0162&partnerID=40&md5=c83ae87c326a5dcbef26baa7cc889c2f","Review","Final","","Scopus","2-s2.0-85151971431"
