"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"García-Sánchez I.-M.; Cunha-Araujo D.-J.; Amor-Esteban V.; Enciso-Alfaro S.-Y.","García-Sánchez, Isabel-María (57193363767); Cunha-Araujo, Davi-Jonatas (58844625900); Amor-Esteban, Víctor (57196276446); Enciso-Alfaro, Saudi-Yulieth (57932331000)","57193363767; 58844625900; 57196276446; 57932331000","Leadership and Agenda 2030 in the Context of Big Challenges: Sustainable Development Goals on the Agenda of the Most Powerful CEOs","2024","Administrative Sciences","14","7","146","","","","3","10.3390/admsci14070146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199929744&doi=10.3390%2fadmsci14070146&partnerID=40&md5=b25ae151b3dc4eed67ae9920f2691b70","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199929744"
"Liu W.; Jing K.","Liu, Wenling (58564581500); Jing, Kui (57218563034)","58564581500; 57218563034","ESG portfolio for TDFs with time-varying higher moments and cardinality constraint","2024","International Transactions in Operational Research","31","6","","4270","4295","25","0","10.1111/itor.13364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169903110&doi=10.1111%2fitor.13364&partnerID=40&md5=bd44047b30f9307b883d80ef52cc24c9","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85169903110"
"Sahoo S.","Sahoo, Satyaban (57462986400)","57462986400","Harmony in diversity: Exploring connectedness and portfolio strategies among crude oil, gold, traditional and sustainable index","2024","Resources Policy","97","","105281","","","","0","10.1016/j.resourpol.2024.105281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201922557&doi=10.1016%2fj.resourpol.2024.105281&partnerID=40&md5=d57dcef51d2468e767916b6419e999f0","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201922557"
"Jiao J.; Wang Y.; Yan A.","Jiao, Jie (30967546700); Wang, Yanyang (58843922700); Yan, An (15763987300)","30967546700; 58843922700; 15763987300","Corporate social responsibility and investor relationship management","2024","Financial Review","59","3","","657","685","28","0","10.1111/fire.12377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183128855&doi=10.1111%2ffire.12377&partnerID=40&md5=b66b01ef88ad9066964fb1a161a6b680","Article","Final","","Scopus","2-s2.0-85183128855"
"Popescu I.-S.; Schaubroeck T.; Gibon T.; Petucco C.; Benetto E.","Popescu, Ioana-Stefania (57219371742); Schaubroeck, Thomas (55189248100); Gibon, Thomas (56117208900); Petucco, Claudio (55820457100); Benetto, Enrico (24334369400)","57219371742; 55189248100; 56117208900; 55820457100; 24334369400","Investment funds are responsible for substantial environmental and social impacts","2024","Communications Earth and Environment","5","1","355","","","","0","10.1038/s43247-024-01479-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197260672&doi=10.1038%2fs43247-024-01479-4&partnerID=40&md5=bb7b8ecee24b17f51002ab1011c5428e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197260672"
"Yuan R.; Liu M.J.; Qian L.; Chen Y.","Yuan, Ruizhi (56768856500); Liu, Martin J. (22993817300); Qian, Lixian (57207372703); Chen, Yuhuilin (57160646200)","56768856500; 22993817300; 57207372703; 57160646200","The effect of corporate social responsibility hybridity on firm performance: moderating role of aspirational talk","2024","Industrial Management and Data Systems","124","9","","2758","2790","32","0","10.1108/IMDS-12-2023-0961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200348247&doi=10.1108%2fIMDS-12-2023-0961&partnerID=40&md5=3e367da1bd2089630ce243eae259382b","Article","Final","","Scopus","2-s2.0-85200348247"
"Jaiswal R.; Gupta S.; Tiwari A.K.","Jaiswal, Rachana (57930328000); Gupta, Shashank (57929009600); Tiwari, Aviral Kumar (57204698496)","57930328000; 57929009600; 57204698496","Decoding mood of the Twitterverse on ESG investing: opinion mining and key themes using machine learning","2024","Management Research Review","47","8","","1221","1252","31","1","10.1108/MRR-07-2023-0526","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188285786&doi=10.1108%2fMRR-07-2023-0526&partnerID=40&md5=fa7a02027723cc8562839bfec300bc30","Article","Final","","Scopus","2-s2.0-85188285786"
"Ng A.C.; Rezaee Z.","Ng, Anthony C. (59064409900); Rezaee, Zabihollah (6603153872)","59064409900; 6603153872","Does the market value corporate impact investing and socially responsible investing?","2024","Review of Financial Economics","42","4","","399","441","42","0","10.1002/rfe.1209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205217995&doi=10.1002%2frfe.1209&partnerID=40&md5=7d36e8c30c0bfb9428221b2bcb7199e9","Article","Final","","Scopus","2-s2.0-85205217995"
"Zhang X.; Huang C.-H.","Zhang, Xiaojia (59002938800); Huang, Chia-Hsing (55255377000)","59002938800; 55255377000","Investor characteristics, intention toward socially responsible investment (SRI), and SRI behavior in Chinese stock market: The moderating role of risk propensity","2024","Heliyon","10","14","e34230","","","","0","10.1016/j.heliyon.2024.e34230","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198144725&doi=10.1016%2fj.heliyon.2024.e34230&partnerID=40&md5=9591630f5c291896cde54424db7daddd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85198144725"
"Dissanayake H.; Dissabandara H.; Ajward R.; Perera W.; Popescu C.; Radulescu I.G.","Dissanayake, Hiranya (58029514800); Dissabandara, Hareendra (59352940100); Ajward, Roshan (57221848044); Perera, Wasantha (57190275341); Popescu, Catalin (29068047000); Radulescu, Irina Gabriela (14029088000)","58029514800; 59352940100; 57221848044; 57190275341; 29068047000; 14029088000","Salience of corporate sustainability: Proposed operationalization","2024","Emerging Patterns and Behaviors in a Green Resilient Economy","","","","205","232","27","0","10.1108/978-1-83549-780-720241011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205542232&doi=10.1108%2f978-1-83549-780-720241011&partnerID=40&md5=b1eca25e1fd5bed5d4d2894c66f6be2f","Book chapter","Final","","Scopus","2-s2.0-85205542232"
