"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1990","1990","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,221781.04,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1991","1991","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,229711.99,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1992","1992","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,230151.1,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1993","1993","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,230464.25,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1994","1994","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,231199.86,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1995","1995","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,231305.57,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1996","1996","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,241662.09,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1997","1997","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,233328.5,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1998","1998","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,233540.16,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","1999","1999","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,221071.12,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2000","2000","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,219454.92,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2001","2001","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,220583.2,,
"NLD","Netherlands","GHG","Greenhouse gases","TOTAL","Total emissions excluding LULUCF","2002","2002","T_CO2_EQVT","Tonnes of CO2 equivalent","3","Thousands",,,218256.53,,
