"COUNTRY","Country","SECTOR","Sector","CATEGORY","Category","VARIABLE","Variable","CURRENCY","Currency","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURNOM","EUR, nominal ","2021","2021",0,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUREAL","Local currency, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUNOM","Local currency, nominal","2021","2021",0,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",-0.3369104,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURNOM","EUR, nominal ","2021","2021",-0.3369104,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUREAL","Local currency, real 2021 base  ","2021","2021",-0.3369104,,
"BEL","Belgium","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUNOM","Local currency, nominal","2021","2021",-0.3369104,,
"CZE","Czechia","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"CZE","Czechia","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURNOM","EUR, nominal ","2021","2021",0,,
"CZE","Czechia","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUREAL","Local currency, real 2021 base  ","2021","2021",0,,
"CZE","Czechia","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUNOM","Local currency, nominal","2021","2021",0,,
"DNK","Denmark","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"DNK","Denmark","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURNOM","EUR, nominal ","2021","2021",0,,
"DNK","Denmark","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUREAL","Local currency, real 2021 base  ","2021","2021",0,,
"DNK","Denmark","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUNOM","Local currency, nominal","2021","2021",0,,
"FIN","Finland","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"FIN","Finland","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURNOM","EUR, nominal ","2021","2021",0,,
"FIN","Finland","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","LCUREAL","Local currency, real 2021 base  ","2021","2021",0,,
