"COUNTRY","Country","SECTOR","Sector","CATEGORY","Category","VARIABLE","Variable","CURRENCY","Currency","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",79813.852,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",58.094788,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",18.820248,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",76.915031,,
"AUT","Austria","ALL","All sectors","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",76.915031,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",66306.633,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",69.929184,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",18.027735,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",87.956924,,
"AUT","Austria","ENE","All energy use sectors (CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",87.956924,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",23960.938,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",161.48456,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","SUBSID","Fossil fuel subsidy, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","ECRATE","Effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",161.48456,,
"AUT","Austria","ROAD","Road (Energy CO2)","ALL","Total excluding biofuels CO2","NETECR","Net effective carbon rate, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",161.48456,,
"AUT","Austria","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","TAXBCO","Potential tax base, in kt of CO2e","EURREAL","EUR, real 2021 base  ","2021","2021",42345.695,,
"AUT","Austria","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","FUETAX","Fuel excise tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",18.123384,,
"AUT","Austria","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","CARBTAX","Carbon tax, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",0,,
"AUT","Austria","NONROADE","All energy use sectors (CO2) except road transport","ALL","Total excluding biofuels CO2","MPERPRI","ETS permit price, average in Currency Unit per tCO2e","EURREAL","EUR, real 2021 base  ","2021","2021",28.228571,,
